Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.72"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:02.73"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.74"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.76"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.78"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.79"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.80"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.82"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.83"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.85"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:02.86"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.88"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.90"}
Top {pid = 0, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'R', cpu = 6.7, mem = 0.8, time = "0:02.91"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 6.7, mem = 0.8, time = "0:02.92"}
Top {pid = 9282, user = "fiendfa+", pr = 20, ni = 0, virt = 232776.0, res = 128100.0, shr = 27808.0, s = 'S', cpu = 13.3, mem = 0.8, time = "0:02.94"}
